company_name,holder_count,is_shared,held_by_bdcs,industry_sector,business_description,total_positions,fair_value_millions,principal_millions,cost_millions,total_fair_value,total_principal,total_cost,has_business_desc,industry_classified
"Voya CLO 2016-3, Ltd.",1,False,Prospect Capital Corporation,Unknown,,2,33.11,28.1,42.47,33112000.0,28100000.0,42466000.0,False,False
"Prime St LLC, Structured Mezzanine",1,False,FS KKR Capital Corp,Unknown,,1,33.1,0.0,0.0,33100000.0,0.0,0.0,False,False
"Home Partners JV 2, Structured Mezzanine",1,False,FS KKR Capital Corp,Unknown,,3,33.0,0.0,11.4,33000000.0,0.0,11400000.0,False,False
"AQ Sage Buyer, LLC",1,False,Ares Capital Corporation,Business Services,Provider of actuarial consulting and comprehensive wealth management services,7,33.0,10.2,33.0,33000000.0,10200000.0,33000000.0,True,True
"Capital Automotive LP, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,32.9,20061940.0,22.1,32900000.0,20061940000000.0,22100000.0,False,False
"LJP Purchaser, Inc. and LJP Topco, LP",1,False,Ares Capital Corporation,Other,Provider of non-hazardous solid waste and recycling services,3,32.8,9.6,31.6,32800000.0,9600000.0,31600000.0,True,False
"Empower Payments Investor, LLC",1,False,Ares Capital Corporation,Financial Services,Financial communication and payment solutions provider,1,32.8,32.8,32.2,32799999.999999996,32799999.999999996,32200000.000000004,True,True
"Capital Automotive LP, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,32.4,21190090.0,23.2,32400000.0,21190090000000.0,23200000.0,False,False
Wealth Enhancement Group LLC,1,False,FS KKR Capital Corp,Unknown,,8,32.4,32.5,32.4,32400000.0,32500000.0,32400000.0,False,False
"DTI Holdco, Inc. and OPE DTI Holdings, Inc.",1,False,Ares Capital Corporation,Business Services,Provider of legal process outsourcing and managed services,2,32.2,0.0,15.0,32200000.000000004,0.0,15000000.0,True,True
"ESHA Research, LLC and RMCF VI CIV XLVIII, L.P.",1,False,Ares Capital Corporation,Software/Technology,Provider of nutritional information and software as a services (SaaS) compliance solutions,4,31.8,7.6,27.6,31800000.0,7600000.0,27600000.0,True,True
Aldinger Company Inc,1,False,Ares Capital Corporation,Other,Provider of outsourced calibration and repair services,1,31.7,32.0,32.0,31700000.0,32000000.0,32000000.0,True,False
Area Wide Protective Inc,1,False,FS KKR Capital Corp,Unknown,,2,31.3,31.3,31.2,31300000.0,31300000.0,31200000.0,False,False
Arcos LLC/VA,1,False,FS KKR Capital Corp,Unknown,,4,31.3,34.4,34.1,31300000.0,34400000.0,34100000.0,False,False
"MS Private Loan Fund I, LP",1,False,Main Street Capital Corporation,Financial Services,Investment Partnership,3,31.27,1.6,31.7,31268000.0,1600000.0,31700000.0,True,True
"KKR Central Park Leasing Aggregator L.P., Partnership Interest",1,False,FS KKR Capital Corp,Unknown,,2,31.1,0.0,78.2,31100000.0,0.0,78200000.0,False,False
"Avenue One PropCo, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,31.0,0.0,0.0,31000000.0,0.0,0.0,False,False
Rockefeller Capital Management LP,1,False,FS KKR Capital Corp,Unknown,,2,30.9,30.7,30.5,30900000.0,30700000.0,30500000.0,False,False
"Wealth Enhancement Group, LLC",1,False,Ares Capital Corporation,Financial Services,Wealth management and financial planning firm,6,30.8,15.4,30.8,30800000.0,15400000.0,30800000.0,True,True
"Spark Purchaser, Inc.",1,False,Ares Capital Corporation,Software/Technology,Software platform for Medicare application process,1,30.8,30.8,30.8,30800000.0,30800000.0,30800000.0,True,True
Bridge Capital Solutions Corporation,1,False,Main Street Capital Corporation,Financial Services,Financial Services and Cash Flow Solutions Provider,8,30.21,9.81,32.15,30206000.0,9813000.0,32154000.0,True,True
STV Group Inc,1,False,FS KKR Capital Corp,Unknown,,4,30.2,30.1,30.0,30200000.0,30100000.0,30000000.0,False,False
"Powin Energy Corp/NV, Revolver",1,False,FS KKR Capital Corp,Unknown,,2,30.0,0.0,30.0,30000000.0,0.0,30000000.0,False,False
Careismatic Brands Inc,1,False,FS KKR Capital Corp,Unknown,,2,30.0,18.5,30.0,30000000.0,18500000.0,30000000.0,False,False
Pure Fishing Inc,1,False,FS KKR Capital Corp,Unknown,,1,30.0,33.4,33.0,30000000.0,33400000.0,33000000.0,False,False
Sorenson Communications LLC,1,False,FS KKR Capital Corp,Unknown,,1,29.5,29.6,28.4,29500000.0,29600000.0,28400000.0,False,False
RFS Opco LLC,1,False,Ares Capital Corporation,Financial Services,Provider of wealth management services,1,29.5,29.5,29.5,29500000.0,29500000.0,29500000.0,True,True
"Lido Advisors, LLC",1,False,Ares Capital Corporation,Financial Services,Wealth management and financial planning firm,5,29.2,14.6,29.2,29200000.0,14600000.0,29200000.0,True,True
Insightsoftware.Com Inc,1,False,FS KKR Capital Corp,Unknown,,4,29.1,29.0,29.0,29100000.0,29000000.0,29000000.0,False,False
"ATS Operating, LLC",1,False,Main Street Capital Corporation,Retail,For-Profit Thrift Retailer,6,29.06,14.04,29.16,29060000.0,14040000.0,29160000.0,True,True
RA Outdoors LLC,1,False,Main Street Capital Corporation,Software/Technology,Software Solutions Provider for Outdoor Activity Management,3,28.82,15.55,30.99,28824000.0,15550000.0,30994000.0,True,True
"PCIA SPV-3, LLC and ASE Royal Aggregator, LLC",1,False,Ares Capital Corporation,Financial Services,Provider of comprehensive wealth management services,3,28.8,6.9,26.8,28800000.0,6900000.0,26800000.0,True,True
"CrossCountry Mortgage, LLC and CrossCountry Holdco, LLC",1,False,Ares Capital Corporation,Financial Services,Mortgage company originating loans in the retail and consumer direct channels,1,28.5,0.0,24.9,28500000.0,0.0,24900000.0,True,True
"CompareNetworks Topco, LLC",1,False,Main Street Capital Corporation,Software/Technology,Internet Publishing and Web Search Portals,3,28.33,2.96,12.85,28326000.0,2955000.0,12846000.0,True,True
"Viant Medical Holdings, Inc.",1,False,Ares Capital Corporation,Industrial/Manufacturing,Manufacturer of plastic and rubber components for health care equipment,1,27.9,27.6,27.5,27900000.0,27600000.0,27500000.0,True,True
"Viper Bidco, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of SaaS based supply chain risk management solutions,2,27.8,28.1,28.2,27800000.0,28100000.0,28200000.0,True,True
Aerin Medical Inc.,1,False,Ares Capital Corporation,Other,Developer and manufacturer of non-invasive nasal treatment solutions,3,27.8,13.1,27.6,27800000.0,13100000.0,27600000.0,True,False
"Mills Fleet Farm Group, LLC",1,False,Main Street Capital Corporation,Retail,"Omnichannel Retailer of Work, Farm and Lifestyle Merchandise",2,27.68,0.0,27.68,27680000.0,0.0,27680000.0,True,True
"MSC Income Fund, Inc.",1,False,Main Street Capital Corporation,Other,Business Development Company,2,26.84,0.0,27.0,26835000.0,0.0,27000000.0,True,False
"DP Flores Holdings, LLC",1,False,Ares Capital Corporation,Other,Benefits administrator of tax-advantaged reimbursement plans,1,26.7,27.3,27.3,26700000.0,27300000.0,27300000.0,True,False
"HealthEdge Software, Inc.",1,False,Ares Capital Corporation,Software/Technology,"Provider of financial, administrative and clinical software platforms to the healthcare industry",1,26.5,26.5,26.5,26500000.0,26500000.0,26500000.0,True,True
"UKG Inc. and H&F Unite Partners, L.P.",1,False,Ares Capital Corporation,Software/Technology,Provider of cloud based HCM solutions for businesses,1,26.5,0.0,12.6,26500000.0,0.0,12600000.0,True,True
"PYE-Barker Fire & Safety, LLC",1,False,Ares Capital Corporation,Other,Provider of fire protection services and products,3,26.4,13.2,26.4,26400000.0,13200000.0,26400000.0,True,False
GI Ranger Intermediate LLC,1,False,Ares Capital Corporation,Software/Technology,Provider of payment processing services and software to healthcare providers,4,26.4,13.5,27.0,26400000.0,13500000.0,27000000.0,True,True
Therapy Brands Holdings LLC,1,False,Ares Capital Corporation,Software/Technology,Provider of software solutions for the mental and behavioral health market segments,1,26.2,29.1,29.0,26200000.0,29100000.0,29000000.0,True,True
Mercer Advisors Inc,1,False,FS KKR Capital Corp,Unknown,,1,25.9,25.8,25.8,25900000.0,25800000.0,25800000.0,False,False
"ATX Networks Corp, Common Stock",1,False,FS KKR Capital Corp,Unknown,,1,25.9,0.0,0.0,25900000.0,0.0,0.0,False,False
Consilium Safety Group AB,1,False,FS KKR Capital Corp,Unknown,,1,25.8,0.0,26.5,25800000.0,0.0,26500000.0,False,False
"Voya CLO 2012-4, Ltd.",1,False,Prospect Capital Corporation,Unknown,,4,25.78,81.23,30.44,25782000.0,81226000.0,30444000.0,False,False
"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC",1,False,Ares Capital Corporation,Other,Franchisor of private-pay home care for the elderly,3,25.6,10.9,22.8,25600000.0,10900000.0,22800000.0,True,False
CLEAResult Consulting Inc,1,False,FS KKR Capital Corp,Unknown,,4,25.6,25.8,25.6,25600000.0,25800000.0,25600000.0,False,False
"Capstone Logistics Acquisition, Inc.",1,False,Prospect Capital Corporation,Unknown,,3,25.5,8.5,25.06,25500000.0,8500000.0,25058000.0,False,False
"PDDS HoldCo, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of cloud-based dental practice management software,3,25.4,12.7,25.4,25400000.0,12700000.0,25400000.0,True,True
"Applied Technical Services, LLC",1,False,Ares Capital Corporation,Industrial/Manufacturing,"Provider engineering, testing, and inspection services to various industrial, commercial and consumer customers",5,25.4,13.0,25.4,25400000.0,13000000.0,25400000.0,True,True
"American Health Staffing Group, Inc.",1,False,Main Street Capital Corporation,Healthcare Services,Healthcare Temporary Staffing,6,25.4,12.71,25.27,25398000.0,12712000.0,25274000.0,True,True
Duraserv LLC,1,False,Ares Capital Corporation,Other,Provider of commercial loading dock maintenance and remodeling services,1,25.3,25.3,25.3,25300000.0,25300000.0,25300000.0,True,False
"Televerde, LLC",1,False,Main Street Capital Corporation,Other,Provider of Telemarketing and Data Services,6,25.15,0.0,8.03,25148000.0,0.0,8032000.0,True,False
"HM Dunn Co Inc, Preferred Stock, Series A",1,False,FS KKR Capital Corp,Unknown,,1,25.1,0.0,0.0,25100000.0,0.0,0.0,False,False
"Brainworks Software, LLC",1,False,Main Street Capital Corporation,Software/Technology,Advertising Sales and Newspaper Circulation Software,7,24.91,7.82,41.49,24912000.0,7817000.0,41492000.0,True,True
"Artivion, Inc.",1,False,Ares Capital Corporation,Healthcare Services,"Manufacturer, processor and distributor of medical devices and implantable human tissues",3,24.8,12.4,24.8,24800000.0,12400000.0,24800000.0,True,True
Granicus Inc,1,False,FS KKR Capital Corp,Unknown,,4,24.8,24.6,24.5,24800000.0,24600000.0,24500000.0,False,False
"Smarsh Inc. and Skywalker TopCo, LLC",1,False,Ares Capital Corporation,Software/Technology,SaaS based communication archival service provider,4,24.6,1.7,16.0,24600000.0,1700000.0,16000000.0,True,True
"Star Mountain Diversified Credit Income Fund III, LP, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,24.4,23500000.0,23.5,24400000.0,23500000000000.0,23500000.0,False,False
"Bottomline Technologies, Inc. and Legal Spend Holdings, LLC",1,False,Ares Capital Corporation,Other,Provider of payment automation solutions,3,24.4,12.2,24.4,24400000.0,12200000.0,24400000.0,True,False
"Mini Melts of America, LLC",1,False,Main Street Capital Corporation,Other,Manufacturer and Distributor of Branded Premium Beaded Ice Cream,6,24.26,11.7,23.93,24256000.0,11698000.0,23926000.0,True,False
Assembled Brands Capital LLC,1,False,Oaktree Specialty Lending Corporation,Unknown,,4,24.16,0.0,0.0,24163000.0,0.0,0.0,False,False
"Echo Purchaser, Inc.",1,False,Ares Capital Corporation,Software/Technology,"Software provider of mission critical security, supply chain, and collaboration solutions for highly regulated end markets",3,23.8,11.9,23.8,23800000.0,11900000.0,23800000.0,True,True
"Carlyle Global Market Strategies CLO 2014-4-R, Ltd.",1,False,Prospect Capital Corporation,Unknown,,2,23.76,25.53,26.12,23764000.0,25534000.0,26116000.0,False,False
"The Mather Group, LLC, TVG-TMG Topco, Inc., and TVG-TMG Holdings, LLC",1,False,Ares Capital Corporation,Financial Services,Provider of comprehensive wealth management services,5,23.6,7.9,30.2,23600000.0,7900000.0,30200000.0,True,True
GTCR F Buyer Corp. and GTCR (D) Investors LP (15),1,False,Ares Capital Corporation,Software/Technology,Provider of end-to-end tech-enabled administrative services to private foundations,3,23.4,5.2,20.0,23400000.0,5200000.0,20000000.0,True,True
"Star Mountain Diversified Credit Income Fund III, LP, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,23.4,23500000.0,23.5,23400000.0,23500000000000.0,23500000.0,False,False
"Vehicle Secured Funding Trust, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,23.1,21111425.0,21.1,23100000.0,21111425000000.0,21100000.0,False,False
Cadence Education LLC,1,False,FS KKR Capital Corp,Unknown,,3,22.9,22.9,22.9,22900000.0,22900000.0,22900000.0,False,False
"Barfly Ventures, LLC",1,False,Main Street Capital Corporation,Food & Beverage,Casual Restaurant Group,6,22.84,1.42,9.18,22844000.0,1422000.0,9180000.0,True,True
"Petvisor Holdings, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of veterinarian-focused SaaS solutions,5,22.8,11.4,22.8,22800000.0,11400000.0,22800000.0,True,True
"MoneyThumb Acquisition, LLC",1,False,Main Street Capital Corporation,Software/Technology,Provider of Software-as-a-Service Financial File Conversion and Reconciliation,4,22.54,9.6,22.54,22536000.0,9600000.0,22536000.0,True,True
Barings CLO 2018-III,1,False,Prospect Capital Corporation,Unknown,,4,22.52,165.62,18.85,22518000.0,165618000.0,18846000.0,False,False
Alacrity Solutions Group LLC,1,False,FS KKR Capital Corp,Unknown,,3,22.5,22.6,22.4,22500000.0,22600000.0,22400000.0,False,False
"SV Newco 2, Inc. and Site 2020 Incorporated",1,False,Ares Capital Corporation,Other,Provider of outsourced traffic control safety services,1,22.5,22.5,22.5,22500000.0,22500000.0,22500000.0,True,False
"Rising Tide Holdings, Inc.",1,False,Prospect Capital Corporation,Unknown,,5,22.48,6.2,114.74,22476000.0,6198000.0,114743000.0,False,False
Romark WM-R Ltd.,1,False,Prospect Capital Corporation,Unknown,,2,22.35,27.72,24.9,22346000.0,27725000.0,24900000.0,False,False
"Gulf Publishing Holdings, LLC",1,False,Main Street Capital Corporation,Media & Entertainment,Energy Industry Focused Media and Publishing,7,22.22,2.4,30.55,22218000.0,2400000.0,30548000.0,True,True
Cradle Lux Bidco S.A.R.L.,1,False,Ares Capital Corporation,Industrial/Manufacturing,Provider of consumables and equipment for ART and IVF procedures,3,22.0,11.2,22.6,22000000.0,11200000.0,22600000.0,True,True
"NAS, LLC and Nationwide Marketing Group, LLC",1,False,Ares Capital Corporation,Software/Technology,"Buying and marketing services organization for appliance, furniture and consumer electronics dealers",5,22.0,11.2,22.4,22000000.0,11200000.0,22400000.0,True,True
Jefferson Mill CLO Ltd.,1,False,Prospect Capital Corporation,Unknown,,2,21.91,23.59,24.78,21910000.0,23594000.0,24782000.0,False,False
TeamSystem SpA,1,False,FS KKR Capital Corp,Unknown,,1,21.9,0.0,19.0,21900000.0,0.0,19000000.0,False,False
PSC Group,1,False,FS KKR Capital Corp,Unknown,,4,21.7,21.6,21.5,21700000.0,21600000.0,21500000.0,False,False
"Discover Financial Services, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,21.7,20909405.0,20.9,21700000.0,20909405000000.0,20900000.0,False,False
Mountain View CLO IX Ltd.,1,False,Prospect Capital Corporation,Unknown,,4,21.65,95.66,23.84,21654000.0,95660000.0,23842000.0,False,False
UP Intermediate II LLC and UPBW Blocker LLC,1,False,Ares Capital Corporation,Industrial/Manufacturing,"Provider of essential mechanical, electrical and plumbing services to commercial customers",4,21.4,4.8,22.2,21400000.0,4800000.0,22200000.0,True,True
"Galaxy XXVII CLO, Ltd.",1,False,Prospect Capital Corporation,Unknown,,4,21.32,49.15,23.31,21316000.0,49150000.0,23308000.0,False,False
Avetta LLC,1,False,FS KKR Capital Corp,Unknown,,3,21.2,21.3,21.1,21200000.0,21300000.0,21100000.0,False,False
"AMCP Clean Acquisition Company, LLC",1,False,Ares Capital Corporation,Other,Provider of commercial laundry services,3,21.2,10.7,21.0,21200000.0,10700000.0,21000000.0,True,False
"NAPCO Precast, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Precast Concrete Manufacturing,2,20.78,0.0,5.95,20780000.0,0.0,5950000.0,True,True
"SM Wellness Holdings, Inc. and SM Holdco, LLC",1,False,Ares Capital Corporation,Other,Breast cancer screening provider,3,20.4,0.0,18.6,20400000.0,0.0,18600000.0,True,False
"Voya CLO 2014-1, Ltd.",1,False,Prospect Capital Corporation,Unknown,,4,20.38,81.55,23.97,20380000.0,81546000.0,23970000.0,False,False
Octagon Investment Partners 18-R Ltd.,1,False,Prospect Capital Corporation,Unknown,,2,20.35,46.02,22.53,20354000.0,46016000.0,22534000.0,False,False
"PCS MidCo, Inc. and PCS Parent, L.P.",1,False,Ares Capital Corporation,Software/Technology,Provider of 401K recordkeeping software solutions,4,20.2,9.3,20.2,20200000.0,9300000.0,20200000.0,True,True
"Color Intermediate, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of pre-payment integrity software solution,1,20.0,20.0,20.0,20000000.0,20000000.0,20000000.0,True,True
"Engineered Machinery Holdings, Inc.",1,False,Prospect Capital Corporation,Unknown,,3,20.0,10.0,19.99,20000000.0,10000000.0,19988000.0,False,False
Kickapoo Ranch Pet Resort,1,False,Prospect Capital Corporation,Unknown,,6,19.86,1.5,14.71,19860000.0,1500000.0,14712000.0,False,False
Mai Capital Management Intermediate LLC,1,False,Ares Capital Corporation,Financial Services,Provider of comprehensive wealth management services and registered investment advisor,3,19.8,10.1,20.2,19800000.0,10100000.0,20200000.0,True,True
"Logix Acquisition Company, LLC",1,False,Main Street Capital Corporation,Other,Competitive Local Exchange Carrier,2,19.76,24.81,24.93,19764000.0,24809000.0,24934000.0,True,False
Solina France SASU,1,False,FS KKR Capital Corp,Unknown,,1,19.7,19.5,19.0,19700000.0,19500000.0,19000000.0,False,False
"NCI Inc, Class C Common Stock",1,False,FS KKR Capital Corp,Unknown,,1,19.7,0.0,0.0,19700000.0,0.0,0.0,False,False
5 Arch Income Fund 2 LLC,1,False,FS KKR Capital Corp,Unknown,,1,19.5,84.2,61.7,19500000.0,84200000.0,61700000.0,False,False
"KKR Zeno Aggregator LP (K2 Aviation), Partnership Interest",1,False,FS KKR Capital Corp,Unknown,,2,19.0,14875459.0,13.9,19000000.0,14875459000000.0,13900000.0,False,False
"BDB Holdings, LLC",1,False,Main Street Capital Corporation,Food & Beverage,Casual Restaurant Group,1,18.92,0.0,19.54,18920000.0,0.0,19537000.0,True,True
"Artifact Bidco, Inc.",1,False,Ares Capital Corporation,Software/Technology,Supply chain risk management SaaS platform for global enterprise clients,1,18.9,18.9,18.9,18900000.0,18900000.0,18900000.0,True,True
"HP RSS Buyer, Inc.",1,False,Ares Capital Corporation,Other,"Provider of road striping, and road safety related services",2,18.8,18.8,18.8,18800000.0,18800000.0,18800000.0,True,False
"Spirit RR Holdings, Inc. and Winterfell Co-Invest SCSp",1,False,Ares Capital Corporation,Business Services,"Provider of data, analytics, news, and workflow tools to customers in the counter-cyclical distressed debt space",3,18.6,3.3,13.5,18600000.0,3300000.0,13500000.0,True,True
"One Call Care Management Inc, Preferred Stock A",1,False,FS KKR Capital Corp,Unknown,,1,18.5,0.0,0.0,18500000.0,0.0,0.0,False,False
"Aptean, Inc. and Aptean Acquiror Inc.",1,False,Ares Capital Corporation,Software/Technology,"Provider of CRM, ERP and supply chain software applications",1,18.4,18.4,18.2,18400000.0,18400000.0,18200000.0,True,True
"Volusion, LLC",1,False,Main Street Capital Corporation,Software/Technology,Provider of Online Software-as-a-Service eCommerce Solutions,5,18.21,2.1,45.31,18206000.0,2100000.0,45308000.0,True,True
"Guidepoint Security Holdings, LLC",1,False,Ares Capital Corporation,Software/Technology,Cybersecurity solutions provider,3,18.2,9.1,18.2,18200000.0,9100000.0,18200000.0,True,True
PS Operating Company LLC and PS Op Holdings LLC (5),1,False,Ares Capital Corporation,Food & Beverage,Specialty distributor and solutions provider to the swine and poultry markets,4,18.2,24.0,58.6,18200000.0,24000000.0,58600000.0,True,True
Convera International Holdings Limited and Convera International Financial S.A R.L.,1,False,Ares Capital Corporation,Other,Provider of B2B international payment and FX risk management solutions,4,18.0,9.0,18.0,18000000.0,9000000.0,18000000.0,True,False
Specialty Chemicals & Materials,1,False,New Mountain Finance Corporation,Unknown,,4,17.8,235.45,15.78,17798000.0,235447000.0,15784000.0,False,False
Carrier Fire Protection,1,False,FS KKR Capital Corp,Unknown,,5,17.4,12.3,17.5,17400000.0,12300000.0,17500000.0,False,False
"Shermco Intermediate Holdings, Inc.",1,False,Ares Capital Corporation,Energy & Utilities,Provider of electrician services,4,17.4,8.7,17.2,17400000.0,8700000.0,17200000.0,True,True
"GULF PACIFIC ACQUISITION, LLC",1,False,Main Street Capital Corporation,Other,Rice Processor and Merchandiser,8,17.32,8.95,17.59,17322000.0,8953000.0,17590000.0,True,False
"Lightbeam Bidco, Inc.",1,False,Ares Capital Corporation,Other,Provider of yard management services,3,17.2,8.6,17.2,17200000.0,8600000.0,17200000.0,True,False
"NRP Jones, LLC",1,False,Main Street Capital Corporation,Other,"Manufacturer of Hoses, Fittings and Assemblies",8,17.13,4.27,23.82,17134000.0,4271000.0,23824000.0,True,False
Version1 Software Ltd,1,False,FS KKR Capital Corp,Unknown,,4,17.0,11.7,17.2,17000000.0,11700000.0,17200000.0,False,False
Optimizely North America Inc. and Optimizely Sweden Holdings AB,1,False,Ares Capital Corporation,Software/Technology,Provider of web content management and digital commerce solutions,4,17.0,8.6,17.2,17000000.0,8600000.0,17200000.0,True,True
"Icefall Parent, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of customer engagement software and integrated payments solutions,1,16.7,16.7,16.7,16700000.0,16700000.0,16700000.0,True,True
"Lennar Corp, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,16.4,15896685.0,15.9,16399999.999999998,15896685000000.0,15900000.0,False,False
OpenMarket Inc.,1,False,Ares Capital Corporation,Software/Technology,Provider of cloud-based mobile engagement platform,1,16.1,16.1,16.0,16100000.000000002,16100000.000000002,16000000.0,True,True
RC V Tecmo Investor LLC,1,False,Ares Capital Corporation,Software/Technology,Technology based aggregator for facility maintenance services,1,16.0,0.0,8.3,16000000.0,0.0,8300000.000000001,True,True
"Borden (New Dairy Opco), Common Stock",1,False,FS KKR Capital Corp,Unknown,,2,16.0,0.0,0.0,16000000.0,0.0,0.0,False,False
"Waverly Advisors, LLC and WAAM Topco, LLC",1,False,Ares Capital Corporation,Financial Services,Wealth management and financial planning firm,4,16.0,5.0,13.4,16000000.0,5000000.0,13400000.0,True,True
"Endeavor Bidco LLC and Endeavor TopCo, Inc.",1,False,Ares Capital Corporation,Software/Technology,Global securities finance trading platform,3,15.8,6.1,16.0,15800000.0,6100000.0,16000000.0,True,True
SAMBA Safety Inc,1,False,FS KKR Capital Corp,Unknown,,6,15.8,15.8,15.8,15800000.0,15800000.0,15800000.0,False,False
Bloom Fresh International Limited,1,False,FS KKR Capital Corp,Unknown,,2,15.7,0.0,15.8,15700000.0,0.0,15800000.0,False,False
Continental Intermodal Group LP,1,False,Oaktree Specialty Lending Corporation,Unknown,,2,15.6,0.0,0.0,15604000.0,0.0,0.0,False,False
SavATree LLC,1,False,FS KKR Capital Corp,Unknown,,3,15.6,15.8,15.7,15600000.0,15800000.0,15700000.0,False,False
"My Community Homes PropCo 2, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,15.6,20284091.0,20.3,15600000.0,20284091000000.0,20300000.0,False,False
"MS Private Loan Fund II, LP",1,False,Main Street Capital Corporation,Financial Services,Investment Partnership,3,15.57,0.0,14.78,15568000.0,0.0,14780000.0,True,True
"Oneliance, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Construction Cleaning Company,4,15.54,5.44,14.21,15536000.0,5440000.0,14206000.0,True,True
"Conservice Midco, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of outsourced utility management software and billing solutions,1,15.5,15.5,15.5,15500000.0,15500000.0,15500000.0,True,True
LCM XIV Ltd.,1,False,Prospect Capital Corporation,Unknown,,3,15.4,99.87,17.02,15398000.0,99868000.0,17020000.0,False,False
Carlyle C17 CLO Limited,1,False,Prospect Capital Corporation,Unknown,,2,15.35,24.87,17.25,15350000.0,24870000.0,17252000.0,False,False
Homrich & Berg Inc,1,False,FS KKR Capital Corp,Unknown,,4,15.3,15.4,15.4,15300000.0,15400000.0,15400000.0,False,False
"North Haven Stack Buyer, LLC",1,False,Ares Capital Corporation,Other,Provider of environmental testing services,3,15.0,15.0,15.0,15000000.0,15000000.0,15000000.0,True,False
"Team Public Choices, LLC",1,False,Main Street Capital Corporation,Other,Home-Based Care Employment Service Provider,1,14.78,14.68,14.52,14781000.0,14683000.0,14522000.0,True,False
"Lennar Corp, Term Loan",1,False,FS KKR Capital Corp,Unknown,,2,14.7,0.0,14.7,14700000.0,0.0,14700000.0,False,False
Rialto Capital Management LLC,1,False,FS KKR Capital Corp,Unknown,,2,14.7,14.8,14.7,14700000.0,14800000.0,14700000.0,False,False
"The Affiliati Network, LLC",1,False,Main Street Capital Corporation,Other,Performance Marketing Solutions,4,14.07,7.68,14.2,14069000.0,7681000.0,14197000.0,True,False
NovaTaste Austria GmbH,1,False,FS KKR Capital Corp,Unknown,,4,14.0,5.7,14.0,14000000.0,5700000.0,14000000.0,False,False
"QBS Parent, Inc.",1,False,Ares Capital Corporation,Software/Technology,"Provider of vertical software solutions and related implementation, migration, and integration services",1,14.0,14.1,14.1,14000000.0,14100000.0,14100000.0,True,True
"Heavy Construction Systems Specialists, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of construction software,2,14.0,14.0,14.0,14000000.0,14000000.0,14000000.0,True,True
"Forescout Technologies, Inc.",1,False,Ares Capital Corporation,Telecommunications,Network access control solutions provider,1,13.4,13.6,13.6,13400000.0,13600000.0,13600000.0,True,True
"Quoizel, LLC",1,False,FS KKR Capital Corp,Unknown,,2,13.3,13.3,13.3,13300000.0,13300000.0,13300000.0,False,False
"River Aggregates, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Processor of Construction Aggregates,2,13.24,0.0,0.74,13240000.0,0.0,738000.0,True,True
"KKR Rocket Loans Aggregator LLC, Partnership Interest",1,False,FS KKR Capital Corp,Unknown,,2,12.6,14120345.0,14.1,12600000.0,14120345000000.0,14100000.0,False,False
NBLY 2021-1 and KKR Nest Co-Invest L.P.,1,False,Ares Capital Corporation,Other,Operator of multiple franchise concepts primarily related to home maintenance or repairs,1,12.1,0.0,9.7,12100000.0,0.0,9700000.0,True,False
"DriveCentric Holdings, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of CRM software to the automotive dealership industry,1,12.0,12.1,12.1,12000000.0,12100000.0,12100000.0,True,True
"Anaplan, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of cloud-based connected planning platforms for business analytics,3,11.8,5.9,11.8,11800000.0,5899999.999999999,11800000.0,True,True
NM CLFX LP,1,False,New Mountain Finance Corporation,Unknown,,1,11.73,0.0,0.0,11731000.0,0.0,0.0,False,False
"All Web Leads, Inc.",1,False,Oaktree Specialty Lending Corporation,Unknown,,9,11.52,21.35,0.0,11515000.0,21346000.0,0.0,False,False
CFC Underwriting Ltd,1,False,FS KKR Capital Corp,Unknown,,2,11.5,0.0,11.4,11500000.0,0.0,11400000.0,False,False
"Garreco, LLC",1,False,Main Street Capital Corporation,Healthcare Services,Manufacturer and Supplier of Dental Products,4,11.4,3.09,9.78,11396000.0,3088000.0,9776000.0,True,True
"AI Fire Buyer, Inc. and AI Fire Parent LLC",1,False,Ares Capital Corporation,Other,Provider of fire safety and life safety services,4,11.3,11.3,11.3,11300000.0,11300000.0,11300000.0,True,False
